Lower and Single Tier Authority Data,ITL3 regions ,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burnley,East Lancashire,York,44.23,46.12,42.77,44.51,52.49,50.02,51.74,60.75,58.24,59.93,63.37,66.09,68.26,68.46,71.28,75.51,78.16,81.11,82.9,81.66,80.85,80.01,79.36,81.47
Bury,,North Yorkshire CC,42.07,44.62,46.81,48.81,50.48,51.33,53.34,56.25,58.98,59.83,62.57,66.3,69.68,69.47,72.6,76.66,79.17,82.09,83.88,82.65,82.34,81.59,80.84,82.65
Carlisle,East Cumbria,"Barnsley, Doncaster and Rotherham",43.76,44.97,46.1,47.73,49.38,46.58,47.41,51.37,53.78,59.4,59.93,68.67,69.65,71.41,75.89,76.35,80.13,82.3,85.14,82.81,81.87,81.06,80.34,82.58
Cheshire East,Cheshire East,,..,..,..,..,..,..,..,..,..,..,..,..,72.95,73.51,78.59,83.8,88.57,91.21,92.6,90.28,89.54,88.79,87.86,90.3
Cheshire West and Chester,Cheshire West and Chester,,..,..,..,..,..,..,..,..,..,..,..,..,73.33,74,78.86,85.2,91.67,93.08,95.12,93.33,92.59,91.96,91.89,93.29
Chester,,,43.71,46.56,49.26,41.49,44.83,46.13,47.74,51.25,54.22,57.39,61.51,66.18,..,..,..,..,..,..,..,..,..,..,..,..
Chorley,Chorley and West Lancashire,,41.89,45.45,46.56,48.46,50.04,51.84,52.8,55.21,57.49,53.96,55.82,59.36,63.71,64.46,69.17,75.04,77.34,80.68,82.47,80.26,80.87,80.18,79.5,81.66
Congleton,,,44.85,39.24,41.88,43.45,46.39,47.71,49.36,55.09,58.41,61.74,65.28,69.14,..,..,..,..,..,..,..,..,..,..,..,..
Copeland,,,38.05,39.36,40.99,42.11,44.11,45.37,47.6,49.13,52.21,54.86,57.78,62.44,67.34,68.13,73.13,79.38,91.93,84.78,86.62,86.25,85.9,85.26,84.74,86.96
Crewe and Nantwich,,,49.65,50.56,51.78,52.75,54.87,50.66,51.88,56.22,58.6,60.9,63.61,67.13,..,..,..,..,..,..,..,..,..,..,..,..
Eden,,,51.9,49.67,56.24,53.57,56.23,57.23,59.88,63.16,66.43,70.1,73.39,76.97,81.6,82.23,84.63,89.83,92.83,95.9,97.94,97.13,96.03,95.29,94.53,96.82
Ellesmere Port & Neston,,,39.55,44.12,45.98,47.27,49.31,50.52,51.71,57.11,59.65,65.89,67.54,71.37,..,..,..,..,..,..,..,..,..,..,..,..
Fylde,,,56.09,56.13,57.82,39.7,43.41,45.9,48.71,51.33,54.54,57.48,60.97,64.5,69.85,71.19,75.25,80.54,83.72,87.43,89.21,87.85,87.55,86.41,85.32,87.78
Halton,,,40.61,42.78,44.63,45.62,47.95,50.43,52.59,55.01,54.15,57.58,60.97,64.8,68.64,69.51,73.32,77.19,80.12,83.3,85.08,84.2,83.7,82.81,82,84.1
Hyndburn,,,47.6,47.04,49.67,50.61,52.75,54.12,54.97,59.47,54.75,55.68,57.96,60.71,63.81,64.76,68.19,72.26,74.84,77.81,79.32,78.19,77.54,76.62,75.76,77.78
Knowsley,,,42.81,43.25,45.13,45.96,47.95,49.49,50.93,54.92,55.72,58.3,61.22,65.28,69.89,70.36,74.74,81.39,83.86,83.99,86.11,85.41,84.53,83.49,82.72,84.93
Lancaster,Lancaster and Wyre,,43.03,45.15,47.33,48.67,50.84,51.74,53.44,57.46,61.38,64.27,66.37,67.99,70.96,70.63,74.04,78.21,80.7,83.89,85.93,83.88,83.49,83.5,82.96,84.54
Liverpool,Liverpool,,40.38,42.47,44.06,45.02,47.12,48.17,49.97,52.59,55.53,59.28,61.52,64.34,68.88,69.89,74.02,77.89,80.15,83.71,85.64,84.7,83.93,83.14,82.33,84.51
Macclesfield,,,43.89,45.33,46.78,48.06,49,50.63,52.55,56.12,58.72,60.99,67.28,68.91,..,..,..,..,..,..,..,..,..,..,..,..
Manchester,Manchester,,43.65,45.62,48.01,47.89,49.66,51.42,52.95,55.37,57.79,59.34,61.25,62.59,66.3,66.83,71.35,76.04,77.65,81.15,82.87,82.54,81.69,80.92,80.02,82.14
Oldham,,,42.84,44.49,46.73,47.37,49.37,49.79,50.14,54.21,57.76,59.16,61.98,65.37,68.59,64.83,66.3,71.38,78.45,83.28,79.22,77.95,77.19,76.48,76.1,78.17
Pendle,,,45.79,47.47,49.09,50.44,52.43,53.48,54.09,55.86,59.55,53.72,56.37,59.38,62.73,63.57,67.67,72.12,74.69,76.49,75.81,74.89,73.97,73.08,72.46,74.1
Preston,Mid Lancashire,,38.55,41.72,43.55,44.72,47.26,49.67,51.95,55.85,51.95,54.91,57.49,60.84,64.67,64.36,67.76,72.02,74.71,78.76,80.58,78.74,79.05,78.17,77.49,79.6
Ribble Valley,,,45.26,46.72,48.19,49.52,51.07,52.82,54,61.34,62.41,64.06,65.88,66.74,71.56,71.97,76.66,82.27,85.03,88.56,87.11,85.96,85.43,84.57,83.87,85.99
Rochdale,Greater Manchester North West,,42.66,44.69,46.9,48.2,49.89,52.13,53.41,55.18,58.07,61.23,62.96,65.91,69.92,71.02,72.19,67.62,71.52,75.6,77.27,76.53,76.14,74.86,74.36,76.33
Rossendale,,,40.82,42.55,44.17,45.81,48.42,49.37,51.22,56.21,53.34,55.84,58.04,61.13,59.3,60.54,68.33,67.45,70.17,75.27,75.88,74.85,74.17,73.38,72.71,74.53
Salford,,,40.58,41.13,43.88,45.25,46.88,48.57,50.63,53.62,58.83,60.4,63.07,60.1,64.76,65.64,69.89,74.3,76.65,78.36,79.69,79.26,78.51,77.26,76.95,78.97
Sefton,Sefton,,40.6,41.29,43.91,45.02,47.22,49.17,51.06,53.99,57.31,56.77,59.67,63.55,65.01,69.13,74.07,78.65,81.74,86.63,88.95,88,87.18,86.36,85.58,87.23
South Lakeland,West Cumbria,,53.95,53.97,56.67,56.62,58.44,59.1,60.02,64.77,66.78,69.08,72.13,75.56,79.78,80.85,85.73,82.13,86.66,91.82,93.81,92.62,92.2,91.4,90.47,92.96
South Ribble,,,40.54,42.86,45.65,47.74,60.34,54.26,55.6,59.98,63.25,65.7,68.3,71.34,74.96,73.96,77.34,82.11,84.77,87.74,89.5,88.69,87.85,86.87,85.86,88.16
St. Helens,East Merseyside,,40.6,42.88,45.43,46.29,47.6,50.56,52.19,53.8,56.47,59.28,62.11,66.36,71.53,72.67,77.29,82.38,85.26,88.95,90.88,89.88,89.02,88.05,87.16,89.48
Stockport,Greater Manchester South East,,42.32,44.48,45.72,46.67,48.52,50.07,51.91,57.08,59.76,61.71,64.28,65.73,69.3,69.85,73.32,77.81,80.85,84.01,84.91,84.42,83.63,82.96,82.09,84.05
Tameside,,,42.87,45.32,45.99,46.36,48.12,49.33,51.84,54.3,55.36,58.17,61.41,65.03,68.48,69,72.83,77.17,80.04,82.7,84.5,83.21,82.32,81.4,80.64,82.66
Trafford,Greater Manchester South West,,45.95,47.39,49.54,50.15,52.34,53.74,55.71,53.7,56.16,58.77,62.61,65.75,69.98,70.57,75.03,80.29,84.89,88.14,90.05,89.19,88,87.19,86.59,88.78
Vale Royal,,,49.61,51.52,52.85,53.62,55.97,49.98,50.78,56.1,59.14,62.27,66.8,70.08,..,..,..,..,..,..,..,..,..,..,..,..
Warrington,Warrington,,37.49,38.88,40.89,42.2,44.57,46.03,48.14,51.57,54.98,58.58,63.09,67.33,71.59,66.47,72.89,76.46,81.71,83.62,85.71,84.86,84.35,83.46,82.75,85.21
West Lancashire,,,44.74,45.41,46.81,48.61,50.31,52.01,54.53,59.66,63.33,67.88,68.13,72.27,76.41,76.96,80.95,84.38,86.89,90.82,95.58,92.11,93.25,91.49,90.51,93.2
