Lower and Single Tier Authority Data,ITL3 regions ,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
West Lindsey,,,47.1,49.26,39.75,41.6,43.69,43.79,46.99,49.21,51.99,54.91,58.1,61.96,70.73,66.01,69.74,74.45,76.54,79.41,81.67,80.63,79.87,78.87,77.67,80.15
Birmingham,Birmingham,,45.65,48.09,49.33,51.21,53.13,55.05,57.02,59.93,63.54,65.91,68.96,72.43,76.21,76.99,80.93,85.55,89.13,92.48,95.05,94.34,92.81,92.41,91.47,93.74
Bridgnorth,,,49.78,51.6,52.86,54,56.17,57.61,58.59,61.48,63.03,64.68,67.34,71.25,..,..,..,..,..,..,..,..,..,..,..,..
Bromsgrove,,,51.36,53.17,53.67,54.04,55.68,57.31,53.24,56.83,58.61,61.1,64.3,68,72.62,73.27,77.5,82.73,86.64,90.78,92.91,92.31,91.75,91.2,90.53,92.8
Cannock Chase,,,47.87,50.38,51.65,53.19,55.41,56.95,58.17,60.77,63.46,65.52,67.93,70.8,74.32,75.06,78.12,83.16,86.52,90.32,91.89,91.56,91.61,90.22,89.71,92.1
Coventry,Coventry,,49.8,52.05,53.58,42.97,45.21,48.22,50.73,53.29,55.97,57.74,61.08,64.77,69.1,69.67,74.12,76.34,83.46,90.39,86.63,86.35,85.65,84.27,84.05,86.21
Dudley,Dudley,,47.44,50.23,52.41,54.01,55.59,57.16,58.77,62.21,65.11,67.3,69.99,73.55,76.71,77.92,81.43,86.69,90.23,93.77,95.98,94.87,94.05,93.21,92.15,94.34
East Staffordshire,,,44.9,46,47.02,39.78,41.8,43.77,45.28,48.16,50.41,53.46,56.54,61.08,65.42,66.61,71.24,75.85,78.87,82.05,83.61,82.89,82.07,81.48,80.67,82.81
"Herefordshire, County of","Herefordshire, County of",,44.6,47.39,49.83,51.71,55.38,48.43,50.65,54.96,57.77,60.31,63.55,67.69,72.51,72.78,77.13,82.65,85.89,89.85,91.83,90.83,89.92,89.56,88.27,90.6
Lichfield,,,40.81,43.86,46.69,49.59,51.68,54.21,55.54,59.53,62.53,65.24,68.11,71.21,75,74.25,77.66,82.45,85.26,88.49,90.23,89.34,88.67,87.87,87.09,89.65
Malvern Hills,,,46.08,48.18,51.81,53.6,59.73,55.4,58.14,63.29,66.51,69.3,72.74,76.33,80.81,78.79,84.41,89.77,92.8,96.59,98.78,97.5,96.57,95.68,94.68,97.41
Newcastle-under-Lyme,,,45.54,47.01,35.04,36.57,38.48,39.68,41.39,44.47,46.26,48.44,51.52,54.85,59.56,60.89,65.44,70.64,73.88,77.37,79.2,78.08,77.04,81.73,76.25,78.41
North Shropshire,,,44.31,45.84,47.26,48.48,51.44,51.98,53.79,57.56,60.91,62.6,56.76,61.72,..,..,..,..,..,..,..,..,..,..,..,..
North Warwickshire,,,51.53,54.52,56.29,57.68,58.98,60.65,61.9,64.99,68.11,70.62,72.03,75.29,81.11,81.71,86.81,91.5,94.74,97.89,99.92,99.02,97.96,97.37,96.13,98.65
Nuneaton and Bedworth,,,50.2,52.23,53.11,53.99,55.5,56.52,58.4,62.51,64.95,67.46,70.84,74.09,77.93,79.14,85.51,88.44,93.15,96.3,98.05,97.22,96.17,95.26,94.45,96.78
Oswestry,,,46.05,48.35,49.55,50.48,51.95,53.28,55.28,58.43,60.59,62.45,64.58,67.52,..,..,..,..,..,..,..,..,..,..,..,..
Redditch,,,45.91,47.58,49.38,50.34,52.66,54.49,56.59,59.2,61.42,64.19,66.79,69.74,73.33,72.54,76.22,80.81,83.76,87.16,89.22,88.61,88.06,88.8,89.38,92.1
Rugby,,,47.06,49.26,50.58,51.67,53.99,55.51,57.57,61.06,64.79,68.06,71.88,75.19,79.78,79.95,87.63,90.19,95.98,98.78,99.97,99.1,99.71,98.34,98.06,100.62
Sandwell,Sandwell,,48.54,50.79,53.15,54.59,56.25,57.48,58.76,61.6,64.39,66.09,68.62,71.46,74.07,75.23,78.11,83.02,86.17,89.21,91.29,90.61,89.96,89.11,88.09,90.17
Shrewsbury and Atcham,,,46.27,47.98,49.32,49.94,44.3,45.98,47.66,50.5,53,56.04,60.72,65.3,..,..,..,..,..,..,..,..,..,..,..,..
Shropshire,Shropshire CC,,..,..,..,..,..,..,..,..,..,..,..,..,71.33,71.8,76.44,81.77,85.23,88.37,90.55,89.36,88.42,87.63,87.07,89.01
Solihull,Solihull,,49.14,50.88,52.2,53.25,54.85,56.66,58.63,62.05,64.79,67.8,71.3,74.64,79.86,80.35,85.97,91.24,98.27,99.26,102.87,102.8,102.26,101.76,101.1,104.22
South Shropshire,,,44.38,46.74,49.32,51.45,54.34,56.9,58.29,61.52,63.52,66.62,70.21,72.64,..,..,..,..,..,..,..,..,..,..,..,..
South Staffordshire,,,41.47,44.05,44.66,46.03,48.82,51.43,53.27,58.13,60.9,63.79,66.84,69.63,75.89,76.66,77.7,82.67,85.45,90.19,90.74,89.2,88.68,87.82,85.64,89.35
Stafford,Staffordshire CC,,47.95,49.43,51.34,52.14,53.79,55.57,56.85,59.96,52.49,54.89,58.05,62.57,66.97,67.93,72.2,76.76,79.56,82.95,84.77,84.14,83.73,82.93,82.34,84.53
Staffordshire Moorlands,,,48.2,50.45,49.68,42.24,44.03,45.66,47.21,50.73,52.86,56.32,59.25,63.36,68.68,69.5,74.17,79.32,82.75,86.02,88.05,87.08,86.19,85.31,84.5,86.72
Stoke-on-Trent,Stoke-on-Trent,,45.1,46.93,47.66,45.73,46.97,48.68,50.04,50.89,53.27,58.78,60.64,62.78,65.52,65.89,69.97,73.23,75.94,75.84,78.06,77.17,77.61,75.88,75.29,77.04
Stratford-on-Avon,,,40.33,43.14,45.73,47.49,49.53,52.92,56.05,60.31,64.47,67.77,72.64,81.74,84.15,83.08,93.04,94.13,101.72,105.26,106.32,105.69,105.12,104.44,103.53,106.92
Tamworth,,,50.07,52.22,53.66,54.6,56.77,58.15,59.19,61.56,64.39,66.73,70.05,72.45,75.29,74.82,77.54,81.91,85.15,88.18,90.22,89.31,89.83,87.96,87.22,89.25
Telford and Wrekin,Telford and Wrekin,,50.85,52.65,46.29,48.16,50.66,51.92,54.6,57.69,60.54,61.64,64.19,68.14,72.64,72.88,77.45,82.61,87.4,89.64,92.19,90.93,89.67,88.74,88.07,90.6
Walsall,Walsall,,42.89,45.41,47.55,49.19,51.05,48.61,48.49,50.8,53.04,55.46,61.55,63.32,68.09,67.91,73.22,81.17,84.47,85.41,87.29,86.48,85.65,84.81,83.98,86.04
Warwick,Warwickshire,,41.47,44.05,46.05,47.87,49.32,50.89,53.29,58.97,62.34,65.59,70.53,76.35,81.99,82.87,89.48,92.96,97.84,101.89,104.18,103.54,103.85,103.85,104.01,107.18
Wolverhampton,Wolverhampton,,48.6,50.63,52.04,52.41,55.19,57.28,57.28,59.7,62.35,64.27,67.09,69.94,72.71,73.61,76.5,81.57,84.87,88.09,90.06,89.31,88.81,87.83,87.1,89.17
Worcester,Worcestershire,,47.44,48.33,49.37,50.15,53.36,54.01,47.74,51.67,55.07,57.92,61.57,65.39,69.52,69.02,74.44,79.29,82.62,86.82,88.83,87.71,87.13,86.15,85.43,87.74
Wychavon,,,43.22,45.76,47.8,49.03,55.58,54.42,58.28,60.65,63.37,66.58,70.03,73.68,77.96,77.08,81.7,87.12,90.05,94.18,96.19,95.35,94.55,93.58,92.76,95.41
Wyre Forest,,,48.99,49.26,42.63,43.74,46.65,48.65,49.73,53,56.5,59.52,63.28,67.38,72.31,72.62,77.26,82.39,85.3,88.74,90.8,89.34,88.41,87.52,86.63,88.89
Babergh,,,52.02,53.35,54.3,55.41,57.22,58.62,59.56,62.32,64.1,66.61,69.53,73.23,76.97,77.32,82.28,86.79,90.19,93.38,95.45,94.47,93.88,92.86,92.08,94.43
Basildon,Essex Thames Gateway,,57.83,60.44,63.83,65.63,68.11,69.12,69.47,73.6,76.45,77.8,83.88,86.51,92.55,92.67,94.36,99.87,104.87,109.58,110.5,111.9,108.78,111.45,110.52,111.59
Bedford,Bedford,,..,..,..,..,..,..,..,..,..,..,..,..,81.01,81.13,86.28,91.65,94.69,98.57,100.89,99.69,98.79,97.91,97.06,99.52
Bedford,Central Bedfordshire,,50.6,54.74,57.26,59.07,61.84,62.28,63.47,67.39,69.13,71.11,73.72,76.67,..,..,..,..,..,..,..,..,..,..,..,..
Braintree,,,60.4,63.58,64.5,65.24,66.87,66.32,68.72,72.5,74.94,77.72,68.69,73.45,78.66,79.42,84.24,89.85,92.98,102.9,98.67,97.71,96.83,95.88,94.91,97.4
Breckland,,,42.46,46.7,48.07,49.66,52.3,53.63,56.12,58.41,59.77,62.35,67.42,71.21,72.67,73.89,78.06,83.07,85.87,89.1,90.88,89.28,89.41,88.33,87.51,89.64
Brentwood,,,55.36,57.97,59.39,60.96,64.13,65.79,68.09,71.39,80.63,84.18,86.96,91.46,96.72,96.39,101.94,109.75,114.46,117.67,120.17,119.03,118.3,117.1,116,118.82
Broadland,,,46.37,49.53,52.16,53.72,56.01,57.26,58.44,61.39,63.83,66.36,69.32,71.42,76.43,77.18,81.37,86.35,89.48,92.83,94.86,93.8,93.64,91.92,91,93.18
Broxbourne,,,53.47,57.34,59.41,62.04,64.8,65.52,67.59,68.9,72.43,77.43,79.01,83.22,89.59,90.27,96.57,104.27,109.14,119.01,117.23,116.83,114.14,112.96,112.04,114.58
Cambridge,Cambridgeshire CC,,48.06,50.5,52.42,53.27,55.38,55.95,59.34,64.04,68.38,73.2,77.05,82.15,87.54,88.4,94.08,100.13,104.74,109.38,112.14,110.52,109.08,108.58,107.22,109.37
Castle Point,,,61.05,63.09,65.92,66,69.53,70.95,72.49,75.45,81.15,83.46,85.56,88.41,92.99,93.05,95.92,100,113.17,106.9,109.72,108.98,108.09,107.58,106.7,108.32
Central Bedfordshire,,,..,..,..,..,..,..,..,..,..,..,..,..,83.77,84.25,89.77,96.05,99.81,104.25,106.57,104.99,103.27,102.37,100.27,103.05
Chelmsford,Heart of Essex,,56.12,58.37,61.1,62.35,52.02,59.02,62.05,68.3,71.35,74.59,77.94,88.27,90.11,85.79,97.12,103.18,107.37,104.64,107.07,105.39,101.73,100.84,99.94,102.63
Colchester,Essex Haven Gateway,,63.61,65.3,66.87,68.58,71.55,71.11,71.5,74.24,76.1,78.03,80.75,83.79,87.44,86.92,91.67,96.89,99.67,102.88,105.25,104.22,103.48,102.33,101.8,104.41
Dacorum,,,55.78,58.16,59.93,61.17,64.23,66.49,69.06,73.88,77.42,80.75,84.92,88.77,94.24,94.57,100.67,107.56,111.62,116.99,119.33,117.96,120.99,116.28,115.12,118.14
East Cambridgeshire,,,43.32,47.19,49.55,50.71,52.97,57.97,57.3,62.99,66.5,69.89,75.08,78.15,92.07,91.29,97.27,94.91,98.39,101.29,104.44,103.34,102.35,101.33,106.44,103.01
East Hertfordshire,Hertfordshire,,60.62,62.5,62.91,62.73,61.12,61.99,64.19,68.55,73.88,76.33,80.61,84.77,91.05,92.42,98.87,105.87,110.2,115.59,118.33,117.71,117.64,115.39,114.26,117.27
East Suffolk,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.64,92.88
Epping Forest,,,62.67,66.93,67.92,69.36,71.95,73.9,75.71,79.79,83.11,86.99,90.05,93.96,99.2,99.82,104.57,111.6,116.48,120.96,123.03,121.79,120.61,119.49,118.44,121.56
Fenland,,,44.68,47.16,48.49,49.41,51.12,52.12,53.96,58.24,60.7,63.48,66.53,67.04,72.79,74.02,83.43,89.06,86.66,95.54,92.02,91.06,92.79,89.25,88.39,90.39
Forest Heath,,,48.24,47.82,48.91,49.91,51.83,53.15,54.48,52.87,56.94,60.66,64.6,71.57,74.25,75.21,79.64,84.93,87.96,91.41,93.25,91.64,91.53,90.65,..,..
Great Yarmouth,,,46.61,48.44,49.67,50.32,51.81,53.67,55.01,57.15,60.09,62.03,65.84,69.62,72.6,72.96,77.94,82.06,85.14,87.95,89.26,88.13,87.63,86.67,85.49,87.65
Harlow,West Essex,,60.36,63.17,63.73,64.4,65.42,66.5,66.67,69.94,72.83,72.21,77.42,80.78,85.46,85.84,89.63,94.73,101.28,105.01,105.07,103.27,103.01,101.54,100.09,102.38
Hertsmere,,,49.33,52.08,54.42,56.26,59.12,60.57,64.19,71.88,73.75,79.78,87.37,89.8,95.51,96.96,103.79,113.95,116.17,120.33,124.28,121.8,124.72,120.77,118.46,121.6
Huntingdonshire,,,47.24,49.66,49.76,51.97,53.51,54.63,56.75,60.17,63.29,66.52,70.21,74.23,79.1,79.6,83.68,88.93,91.94,95.47,97.61,96.6,95.88,95.01,93.75,96.32
Ipswich,,,42.68,43.68,45.48,46.91,49.12,50.72,52.66,56.13,59.23,62.03,64.28,67.47,71.53,72.26,77.17,81.58,85.21,88.29,90.28,89.34,89.4,88.61,87.82,90.12
King's Lynn and West Norfolk,,,46.54,47.7,49.21,49.39,51.62,53.37,54.89,59.21,61.46,59.57,62.71,62.64,66.64,67.02,76.18,77.75,81.06,83.91,85.76,84.44,84.31,83.13,82.31,84.58
Luton,Luton,,55.77,57.99,59.8,60.67,62.31,63.51,65.02,67.25,69.66,71.76,74.49,77.66,83.06,83.44,87.93,94.31,96.75,101.04,103.96,102.91,101.48,100.24,99.37,101.95
Maldon,,,55.5,57.94,60.55,61.93,66.47,66.6,67.39,72.19,75.24,78.29,81.75,85.25,89.69,88.72,90.6,96.32,99.55,103.37,105.59,104.27,103.44,102.35,101.49,104.35
Mid Bedfordshire,,,44.67,47.49,49.92,52.27,52.47,54.3,56.44,61.55,64.26,67.46,72.08,76.96,..,..,..,..,..,..,..,..,..,..,..,..
Mid Suffolk,,,49.97,52.61,53.69,54.46,55.86,57.11,58.26,63.33,65.39,67.7,70.39,73.8,77.1,77.88,82.39,86.87,90.06,93.39,95.59,94.59,93.82,92.91,92.23,94.51
North Hertfordshire,,,49.38,50.88,52.34,52.8,55.02,56.91,56.92,60.38,64.23,68.24,72.78,77.54,83.62,84.38,90.72,97.82,102.23,107.98,110.67,109.52,108.72,107.95,107.26,110.29
North Norfolk,North and West Norfolk,,52.25,54.22,55.13,55.73,57.15,58.59,59.18,61.26,52.33,55.88,60.14,64.26,68.83,70.26,75.68,81.21,84.98,88.85,91.73,89.53,87.41,87.11,87.03,89.33
Norwich,Norwich and East Norfolk,,44.3,45.76,47.85,48.75,50.23,51.58,53.4,56.42,59.98,62.67,65.94,69.38,73.04,73.25,78.07,82.45,85.94,88.98,90.57,89.63,89.57,87.99,87.2,89.37
Peterborough,Peterborough,,42.34,44.72,45.86,46.87,48.63,50.56,52.56,54.7,57.66,60.27,63.49,66.95,73.15,73.53,81.01,80.6,83.3,86.55,88.28,87.51,86.98,85.84,85.02,87.21
Rochford,,,59.32,61.82,64.04,66.2,67.75,68.25,68.4,75.03,76.72,78.28,69.76,74.21,79.55,80.01,85.06,91.45,95.63,99.85,102.1,101.06,99.98,99.17,98.3,100.77
South Bedfordshire,,,56.23,59.68,61.41,62.63,64.95,66.61,68.18,73,75.45,77.85,80.99,84.37,..,..,..,..,..,..,..,..,..,..,..,..
South Cambridgeshire,,,48.61,52.7,54.06,56.21,58.35,60.47,63.42,68.06,71.93,76.51,80.76,85.2,91.27,91.84,96.79,103.02,106.88,111.68,113.81,112.89,111.82,110.5,109.66,112.74
South Norfolk,Breckland and South Norfolk,,46.19,47.84,49.47,50.33,51.8,53.21,54.98,53.24,56.34,59.52,63.21,67.52,72.34,73.04,77.03,82.33,85.14,88.28,90.3,89.35,89.02,88.11,87.26,89.39
Southend-on-Sea,Southend-on-Sea,,55.15,57.03,59.64,61.64,64.63,65.45,66.28,68.11,70.7,75.41,78.09,80.68,83.18,82.23,86.35,91.18,94.02,97.28,99.6,98.98,97.87,97.13,96.75,98.44
St Albans,,,57.93,58.26,60.67,61.76,63.57,65.63,68.18,74.12,78.57,81.82,87.04,92.01,98.06,98.64,104.48,112.28,117.3,121.58,123.85,123.04,121.81,121.02,119.96,123.11
St Edmundsbury,,,45.87,47.95,49.29,50.52,51.95,50.92,52.77,56.22,59.3,61.4,65.63,70.2,74.98,74.97,79.96,85.2,88.03,91.31,93.19,92.16,91.42,90.52,..,..
Stevenage,,,48.66,52.24,54.64,54.57,59.15,60.92,63.36,69.64,73.35,76.93,80.15,85.76,90.96,92.23,97.74,104.23,108.57,113.45,116.07,115.26,116,112.62,111.44,114.34
Suffolk Coastal,Suffolk,,40.73,43.84,46.04,47.57,49.92,53.83,54.28,58.21,60.86,63.92,67.06,71.44,75.68,76.95,81.08,82.8,89.5,92.77,94.66,92.96,93.25,92.34,..,..
Tendring,,,55.68,58.83,60.82,62.32,64.46,65.38,66.84,70.35,76.06,77.81,79.86,82.32,85.91,84.66,88.36,93.74,96.93,99.63,101.82,99.32,99.76,99.82,98.96,100.58
Three Rivers,,,57.78,61.09,63.27,64.85,67.07,68.89,70.58,80.36,82.8,85.74,77.95,84.32,88.84,95.58,102.7,103.52,107.24,113.8,116.25,114.39,113.38,112.32,117.57,114.5
Thurrock,Thurrock,,60.21,63.01,63.54,64.71,66.55,67.52,67.92,69.2,71.28,73.42,76.76,79.94,85.71,86.55,89.56,95.29,98.52,103.27,107.25,105.6,102.89,102.69,105.95,103.89
Uttlesford,,,61.77,65.86,67.91,68.83,69.74,70.87,72.2,76.06,77.24,78.68,80.98,84.82,88.56,88.82,94.64,100.63,104.9,108.2,110.38,109.12,108.69,107.85,106.66,109.57
Watford,,,60.71,62.68,66.2,60.82,68.23,68.5,70.11,75.35,78.96,81.02,75.63,83.24,89.6,94.91,102.36,104.82,109.8,115.39,118.04,114.58,113.62,113.3,111.7,114.49
Waveney,,,47.89,48.93,50.55,51.31,53.01,54.43,55.77,59.46,61.65,64.57,67.17,71.27,74.62,74.89,79.08,83.52,86.59,89.52,91.21,89.92,89.94,89.13,..,..
Welwyn Hatfield,,,52.58,54.95,56.65,58.26,60.47,63.48,66.3,72.82,75.18,77.88,81.42,85.47,90.41,90.88,96.44,103.08,106.72,110.76,113.58,112.42,111.68,110.5,109.44,112.21
West Suffolk,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.7,91.77
Barking and Dagenham,Barking & Dagenham and Havering,,67.88,68.97,63.44,64.18,69.22,69.03,70.32,74.83,78.46,81.45,85.34,90.25,95.69,96.49,101.69,107.67,120.92,127.03,128.51,128.74,118.51,116.92,121.89,118.71
Barnet,Barnet,,61.88,63.81,65.72,67.7,69.32,70.82,74.55,79.3,82.68,85.84,90.09,95.1,101.56,103.17,109.79,117.53,123.29,127.16,132.13,130.39,127.68,127.97,125.98,128.78
Bexley,Bexley and Greenwich,,58.78,59.17,62.44,63.58,66.25,67.74,66.67,72.22,75.51,78.57,82.31,85.91,90.42,90.6,96.58,100.56,106.35,111.21,112.89,112.67,110.75,109.12,108.73,112.22
Brent,Brent,,56.21,59.78,62.34,62.39,65.61,68.34,71.77,77.22,79.14,83.61,89.14,94.08,100.36,101.46,106.78,113.71,118.15,123.16,136.19,133.96,125.6,133.71,130.62,127.79
Bromley,Bromley,,59.57,61.24,64.39,65.76,68.74,70.73,70.56,74.94,78.01,82.94,85.44,89.55,95.58,95.71,101.62,111.1,111.69,115.94,118.13,116.92,115.72,115.86,113.49,116.32
Camden,,,59.17,61.27,63.16,65.16,67.5,69.82,73.27,80.87,83.29,86.94,91.21,96.16,102.56,104.29,111.48,121.61,127.14,132.35,134.18,135.57,133.52,131.12,129.71,134.75
City of London,Camden and City of London,,51.44,52.77,55.52,56.93,58.7,61.88,65.72,72.2,73.52,86.48,82.51,88.98,95.88,96.45,104.55,112.93,115.56,124.46,126.67,126.93,126.83,126.59,126.18,128.55
Croydon,Croydon,,65.95,69.3,70.46,71.85,74.49,76.09,77.93,81.54,85.15,88.23,91.19,96.61,101.32,101.9,107.26,114.39,118.44,123.11,125.93,124.37,123.39,122.2,120.9,124.02
Ealing,Ealing,,59.2,60,62.65,63.68,66.47,69.28,72.51,77.96,83.26,85.34,89.64,95.7,101.73,102.76,109.03,116.43,120.94,126.27,132.57,132.16,126.92,130.55,125.74,129.21
Enfield,Enfield,,61.34,64.08,63.48,64.06,68.04,69.76,73.37,77.56,81.9,84.92,88.83,92.9,99.87,100.97,108.47,115.78,120.11,125.54,128.84,125.36,122.2,122.77,120.55,123.27
Greenwich,,,59.76,61.38,61.96,62.92,65.87,68.13,71.63,75.67,78.6,80.86,85.99,90.7,95.44,96.61,100.87,107.74,111.15,116.24,119.42,118.07,119.25,118.66,117.39,120.65
Hackney,Hackney and Newham,,55.88,57.37,59.7,59.83,62.65,64.64,67.55,72.12,75.46,78.48,83.09,89.43,94.42,96.49,105.39,110.95,115.58,120.24,123.55,122.84,120.01,119.13,119.7,121.41
Hammersmith and Fulham,Kensington & Chelsea and Hammersmith & Fulham,,53.43,56.09,58.07,59.74,62.08,64.69,68.08,73.27,77.07,81.3,87.27,92.03,99.15,101.78,107.68,115.31,121.13,128.17,130.66,130.06,128.68,128.56,128.31,130.44
Haringey,,,55.62,58.39,60.43,61.93,64.21,66.16,68.59,73.26,76.24,80.14,83.8,88.16,94.36,96.07,101.91,109.14,113.88,118.77,123.05,120.67,118.09,119.23,118.22,121.16
Harrow,Harrow and Hillingdon,,59.11,63.05,64.78,66.5,69.99,68.99,72.09,77.75,82.28,83.57,91.23,96.04,102.34,105.7,112.39,119.06,125.88,130.62,137.39,134.13,130.91,132.14,130.36,133.37
Havering,,,58.42,60.66,62.29,64.47,67.58,69.09,71.35,77.34,81.8,85.58,89.06,85.82,92,95.57,100.17,107.27,110.47,118.4,120.08,120.93,118.09,116.33,119.07,118.14
Hillingdon,,,59.14,61.44,64.05,65.81,68.29,70.96,73.52,78.86,84.08,87.45,91.75,97.12,102.39,102.57,107.96,115.68,119.76,123.78,126.37,126.02,124.13,124.44,121.89,125
Hounslow,,,61.53,65.85,67.01,66.96,69.49,70.92,73.92,78.16,81.07,84.78,89.01,93.83,99.53,100.04,106.55,113.46,118.07,123.24,126.84,125.32,124.35,123.32,122.25,125.61
Islington,Haringey and Islington,,54.41,57.38,60.08,59.16,61.98,65.36,67.81,71.52,75.49,80.2,84.47,90.29,96.82,98.9,105.8,113.54,118.8,124.59,127.4,126.78,124.99,124.74,125.63,128.61
Kensington and Chelsea,,,50.34,52.88,54.55,55.97,58.33,61.35,64.86,70.03,74.42,79.22,83.32,88.9,96.03,97.23,105.57,111.88,118.05,123.35,126.69,125.92,126.92,126.37,125.09,128.78
Kingston upon Thames,"Merton, Kingston upon Thames and Sutton",,60.01,60.42,61.66,62.83,66.51,68.35,71.5,80.29,83.79,87.53,92.02,97.37,103.39,104.89,111.13,118.99,124.45,129.32,132.81,131.2,130.61,127.33,127,130.28
Lambeth,Lambeth,,51.48,54.62,56.87,58.22,61.14,63.51,65.58,69.61,72.72,75.6,80.54,84.61,91.11,93.04,99.16,106.77,111.51,116.9,119.46,118.65,117.78,117.27,116.47,119.78
Lewisham,,,52.33,54.6,57.13,59.33,61.78,63.41,67.52,71.41,74.86,78.59,79.54,82.6,87.76,87.92,92.75,100.63,103.94,109.18,111.79,110.48,109.91,109.47,107.96,110.96
Merton,,,61.35,62.92,63.9,66.78,68.7,70.44,72.94,76.79,81.28,84.42,88.05,92.95,86.75,92.61,97.1,105.01,109.76,113.38,116.11,115.12,113.69,113.27,114.3,117.14
Newham,,,58.83,61.16,63.92,64.35,67.39,68.28,71.37,76.42,79.78,82.39,86.72,90.83,95.83,96.79,104.34,110,128.89,134.52,141.18,139.87,119.38,118.63,121.7,121.12
Redbridge,,,62.67,65.59,67.8,67.29,71.25,73.99,74.72,81.56,83.73,87.44,91.6,98.62,103.02,103.37,108.14,114.62,124.95,129.59,132.16,131.33,124.73,124.38,122.43,125.25
Richmond upon Thames,Hounslow and Richmond upon Thames,,58.34,59.84,60.45,64.44,64.82,67.93,69.73,73.38,76.9,80.44,84.56,89.07,95.12,96.24,104.77,108.68,114.08,119.1,123.25,122.82,122.68,120.13,120.06,123.56
Southwark,Lewisham and Southwark,,52.81,55.72,58.22,59.68,62.02,64.49,67.75,72.26,76.66,80.81,85.01,90.42,97.01,98.37,103.93,110.52,116.32,120.96,123.58,122.47,122.33,121.65,120.51,123.69
Sutton,,,55.6,57.94,60.36,62.01,65.1,67.17,68.97,75.63,79.24,82.46,84.75,92.03,97.64,98.21,103.13,110.15,114.68,118.96,119.89,119.7,117.52,117.09,115.73,118.9
Tower Hamlets,Tower Hamlets,,55.7,58.25,58.11,60.54,63.61,66.82,70.05,74.03,75.74,78.09,82.92,87.43,94.41,96.78,103.63,111.11,115.73,122.78,126.31,125.85,124.92,124.19,123.84,126.71
Waltham Forest,Redbridge and Waltham Forest,,58.59,61.62,64.63,66.78,67.85,68.94,70.85,74.27,77.61,80.4,84.3,88.73,94.14,95.46,101.79,110.27,117.86,120.6,122.91,122.04,116.74,116.49,117.35,118.32
Wandsworth,Wandsworth,,58.76,61.21,63.14,64.34,66.52,69.26,72.39,77.65,81.36,86.06,89.7,94.9,102.29,103.76,110.84,119.12,121.88,127.45,134.56,131.24,128.38,128.01,127.91,131.04
Westminster,Westminster,,55.43,58.59,60.44,62.6,64.66,67.25,71.34,76.15,80.31,85.33,90.11,95.96,103.17,104.23,109.77,117.42,122.03,127.97,141.51,130.12,130.46,140.33,129.08,132.97
Adur,,,56.8,60.44,63.87,64.96,67.87,69.27,65.18,78.99,80.16,83.02,85.8,89.89,94.01,93.48,98.47,105.77,108.39,112.71,115.17,110.35,109.04,108.24,110.93,113.78
Arun,,,58.86,62.06,63.75,65.22,67.15,68.67,70.53,74.59,77.38,79.75,82.37,85.83,91.02,92.08,98.1,103.73,105.78,109.5,112.13,109.7,108.96,107.82,107.39,110.5
Ashford,,,61.71,64.19,65.62,66.9,68.91,70.89,70.58,73.83,75.77,76.66,78.87,81.01,83.95,83.96,87.01,93.47,97.01,101.1,102.79,101.37,100.73,99.73,99.03,101.67
Aylesbury Vale,,,59.26,62.66,65.17,66.08,69.3,71.26,73.5,77.4,80.09,70.28,78.11,79.02,84.77,85.45,92.51,97.03,100.08,104.94,106.3,105.53,104.64,103.77,103.74,..
Basingstoke and Deane,North Hampshire,,55,58.62,60.73,63.09,65.08,67.38,69.89,75.13,80.66,82.38,85.16,88.71,93.69,93.93,98.45,106.04,110.22,113.44,115.9,115.32,112.98,112.79,111.12,113.84
Bracknell Forest,,,54.47,56.72,58.71,60.58,62.46,64.8,67.4,73.23,76.2,80.42,76.85,82.12,88.07,88.89,94.37,101.68,105.46,109.81,111.85,110.73,109.86,108.58,107.5,110.38
Brighton and Hove,Brighton and Hove,,55.79,57.93,58.36,59.85,62.21,63.09,64.52,67.3,69.98,72.35,74.44,77.16,80.56,80.11,84.47,89.92,92.72,96.32,100.04,97.1,100.11,94.53,94.37,96.87
Buckinghamshire,Buckinghamshire CC,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.74
Canterbury,,,53.32,55.16,56.75,59.1,63.1,65.08,65.7,68.52,74.37,75.99,78.55,82.19,86.82,86.76,92.19,96.3,99.77,103.78,105.64,104.11,103.55,103.27,101.76,104.35
Cherwell,,,46.47,49.25,52.33,55.96,58.41,58.91,59.55,64.8,68.2,71.17,76.3,79.33,84.99,90.42,96.17,97.65,101.36,105.08,107.69,106.72,105.67,104.48,107.4,106.2
Chichester,West Sussex (South West),,59.43,61.42,63.06,55.25,58.26,60.3,62.02,65.49,68.57,72.12,78.95,85.81,91.39,92.29,97.08,104.05,101.64,105.68,114.65,101.87,105.64,104.87,102.66,106.9
