,Date,type,value,area
116,01-Dec-05,london_pred,77.628677,London
117,01-Dec-05,southeast_pred,83.816765,Southeast
118,01-Dec-05,southwest_pred,85.39653,Southwest
119,01-Dec-05,england_pred,83.494537,England
120,01-Jan-06,northeast_pred,91.49514,Northeast
121,01-Jan-06,northwest_pred,90.878082,Northwest
122,01-Jan-06,yorkshireandthehumber_pred,89.057076,Yorkshire
123,01-Jan-06,eastmidlands_pred,88.483528,Eastmidlands
124,01-Jan-06,westmidlands_pred,89.137108,Westmidlands
125,01-Jan-06,east_pred,87.322586,East
126,01-Jan-06,london_pred,77.815201,London
127,01-Jan-06,southeast_pred,83.980469,Southeast
128,01-Jan-06,southwest_pred,85.548958,Southwest
129,01-Jan-06,england_pred,83.650337,England
130,01-Feb-06,northeast_pred,91.57325,Northeast
131,01-Feb-06,northwest_pred,90.973946,Northwest
132,01-Feb-06,yorkshireandthehumber_pred,89.173271,Yorkshire
133,01-Feb-06,eastmidlands_pred,88.626007,Eastmidlands
134,01-Feb-06,westmidlands_pred,89.258827,Westmidlands
135,01-Feb-06,east_pred,87.465691,East
136,01-Feb-06,london_pred,78.001724,London
137,01-Feb-06,southeast_pred,84.144173,Southeast
138,01-Feb-06,southwest_pred,85.701385,Southwest
139,01-Feb-06,england_pred,83.806137,England
140,01-Mar-06,northeast_pred,91.643806,Northeast
141,01-Mar-06,northwest_pred,91.060524,Northwest
142,01-Mar-06,yorkshireandthehumber_pred,89.278229,Yorkshire
143,01-Mar-06,eastmidlands_pred,88.7547,Eastmidlands
144,01-Mar-06,westmidlands_pred,89.368767,Westmidlands
145,01-Mar-06,east_pred,87.59494,East
146,01-Mar-06,london_pred,78.170197,London
147,01-Mar-06,southeast_pred,84.292038,Southeast
148,01-Mar-06,southwest_pred,85.839066,Southwest
149,01-Mar-06,england_pred,83.946854,England
150,01-Apr-06,northeast_pred,91.721916,Northeast
151,01-Apr-06,northwest_pred,91.15638,Northwest
152,01-Apr-06,yorkshireandthehumber_pred,89.394424,Yorkshire
153,01-Apr-06,eastmidlands_pred,88.897179,Eastmidlands
154,01-Apr-06,westmidlands_pred,89.490486,Westmidlands
155,01-Apr-06,east_pred,87.738037,East
156,01-Apr-06,london_pred,78.356712,London
157,01-Apr-06,southeast_pred,84.455742,Southeast
158,01-Apr-06,southwest_pred,85.991493,Southwest
159,01-Apr-06,england_pred,84.102654,England
160,01-May-06,northeast_pred,91.797508,Northeast
161,01-May-06,northwest_pred,91.249146,Northwest
162,01-May-06,yorkshireandthehumber_pred,89.506874,Yorkshire
163,01-May-06,eastmidlands_pred,89.035065,Eastmidlands
164,01-May-06,westmidlands_pred,89.608276,Westmidlands
165,01-May-06,east_pred,87.876518,East
166,01-May-06,london_pred,78.537224,London
167,01-May-06,southeast_pred,84.614174,Southeast
168,01-May-06,southwest_pred,86.139,Southwest
169,01-May-06,england_pred,84.253426,England
170,01-Jun-06,northeast_pred,91.875618,Northeast
171,01-Jun-06,northwest_pred,91.345001,Northwest
172,01-Jun-06,yorkshireandthehumber_pred,89.62307,Yorkshire
173,01-Jun-06,eastmidlands_pred,89.177544,Eastmidlands
174,01-Jun-06,westmidlands_pred,89.729996,Westmidlands
175,01-Jun-06,east_pred,88.019615,East
176,01-Jun-06,london_pred,78.723747,London
177,01-Jun-06,southeast_pred,84.777878,Southeast
178,01-Jun-06,southwest_pred,86.291428,Southwest
179,01-Jun-06,england_pred,84.409225,England
180,01-Jul-06,northeast_pred,91.951218,Northeast
181,01-Jul-06,northwest_pred,91.437767,Northwest
182,01-Jul-06,yorkshireandthehumber_pred,89.735527,Yorkshire
183,01-Jul-06,eastmidlands_pred,89.31543,Eastmidlands
184,01-Jul-06,westmidlands_pred,89.847794,Westmidlands
185,01-Jul-06,east_pred,88.158104,East
186,01-Jul-06,london_pred,78.904251,London
187,01-Jul-06,southeast_pred,84.936302,Southeast
188,01-Jul-06,southwest_pred,86.438942,Southwest
189,01-Jul-06,england_pred,84.560005,England
190,01-Aug-06,northeast_pred,92.029327,Northeast
191,01-Aug-06,northwest_pred,91.533623,Northwest
192,01-Aug-06,yorkshireandthehumber_pred,89.851723,Yorkshire
193,01-Aug-06,eastmidlands_pred,89.457909,Eastmidlands
194,01-Aug-06,westmidlands_pred,89.969513,Westmidlands
195,01-Aug-06,east_pred,88.301201,East
196,01-Aug-06,london_pred,79.090775,London
197,01-Aug-06,southeast_pred,85.100006,Southeast
198,01-Aug-06,southwest_pred,86.591362,Southwest
199,01-Aug-06,england_pred,84.715805,England
200,01-Sep-06,northeast_pred,92.107437,Northeast
201,01-Sep-06,northwest_pred,91.629478,Northwest
202,01-Sep-06,yorkshireandthehumber_pred,89.967918,Yorkshire
203,01-Sep-06,eastmidlands_pred,89.600388,Eastmidlands
204,01-Sep-06,westmidlands_pred,90.091232,Westmidlands
205,01-Sep-06,east_pred,88.444298,East
206,01-Sep-06,london_pred,79.27729,London
207,01-Sep-06,southeast_pred,85.263718,Southeast
208,01-Sep-06,southwest_pred,86.74379,Southwest
