,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
East Midlands,E07000129,Blaby,,,,,,31.13,32.62,33.84,35.48,37.22,38.99,41.59,42.62,44.75,47.03,49.37,52.80,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000033,Bolsover,,,,,,28.75,29.4,30.67,31.97,33.36,34.86,37.14,39.29,41.98,44.85,48.16,50.58,54.24,56.94,58.32,63.43,69.66,74.07,78.20,80.12,79.57,79.49,78.48,,76.41,80.19,4.946787223
East Midlands,E07000136,Boston,,,,,,34.16,34.62,35.45,37.69,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000172,Broxtowe,,,,,,31.51,32.21,32.88,34.59,35.84,37.39,40.03,40.88,42.97,38.41,47.34,50.74,52.62,54.19,55.71,61.46,64.91,67.32,66.46,67.55,67.19,66.17,65.77,,65.21,67.26,3.143689618
East Midlands,E07000130,Charnwood,,,,,,32.16,32.92,34.19,35.56,37.46,39.31,41.01,41.71,43.64,45.71,47.99,51.44,54.63,56.75,57.42,61.69,70.95,70.85,72.92,74.94,74.30,73.53,72.50,,72.30,74.10,2.489626556
East Midlands,E07000034,Chesterfield,,,,,,29.87,30.96,31.57,33.24,35.12,37.48,38.69,40.70,43.10,45.69,47.90,52.31,54.19,56.15,57.61,62.65,71.67,73.13,76.43,77.83,77.81,77.24,76.66,,76.08,78.26,2.865714479
East Midlands,E07000150,Corby,,,,,,33.11,35.59,35.65,38.09,40.14,42.05,43.50,45.97,47.44,49.21,51.84,55.67,57.70,59.48,61.38,65.63,71.40,73.52,76.16,78.00,77.16,76.92,76.78,,76.28,92.59,21.37526039
East Midlands,E07000151,Daventry,,,,,,34.6,36.68,38.82,39.06,39.36,41.34,45.03,45.53,44.73,52.02,54.62,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E06000015,Derby,,,,,,34.03,34.49,35.30,37.03,37.04,41.88,43.80,45.01,45.31,52.13,50.84,53.14,58.02,56.33,60.42,63.24,68.49,77.90,84.28,78.77,78.37,77.68,78.22,,77.26,79.66,3.110619079
East Midlands,E07000035,Derbyshire Dales,,,,,,32.77,34.29,35.51,36.80,39.75,41.73,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000137,East Lindsey,,,,,,35.24,36.64,39.81,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000152,East Northamptonshire,,,,,,35.81,37.2,37.77,38.09,44.28,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000036,Erewash,,,,,,30.12,31.28,32.41,34.83,36.16,38.44,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000173,Gedling,,,,,,31.39,32.19,33.33,35.08,36.61,38.29,39.93,41.59,43.59,45.76,48.05,50.29,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000131,Harborough,,,,,,39.35,40.83,43.08,44.54,46.05,46.35,50.34,50.17,51.90,53.82,56.34,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000037,High Peak,,,,,,36.28,38.19,39.80,41.65,43.57,44.91,46.80,47.69,48.94,50.26,52.29,55.93,57.50,58.99,59.54,63.06,65.91,68.26,70.64,72.18,71.43,70.70,69.98,,69.63,71.62,2.857963521
East Midlands,E07000132,Hinckley and Bosworth,,,,,,35.28,36.71,38.52,40.15,41.69,42.92,42.42,42.87,45.05,47.27,49.63,53.11,55.37,57.46,58.94,61.18,66.87,70.00,73.53,80.12,80.18,77.63,76.84,,75.16,77.34,2.893870399
East Midlands,E07000153,Kettering,,,,,,36.33,36.82,37.75,38.79,40.03,41.46,43.41,45.02,46.97,49.26,47.92,55.66,58.60,60.61,62.45,61.23,81.73,77.39,80.99,82.01,81.27,80.54,79.81,,78.88,81.18,2.913460174
East Midlands,E06000016,Leicester,,,,,,37.91,41.91,42.72,42.85,42.92,41.62,44.35,44.34,45.83,47.23,49.59,53.19,54.86,56.60,57.71,61.34,67.97,69.37,73.39,72.37,71.52,70.66,70.12,,69.57,72.17,3.730812608
East Midlands,E07000138,Lincoln,,,,,,30.47,30.9,31.77,34.63,35.70,40.37,42.29,41.91,43.13,45.24,47.50,51.74,52.82,54.91,55.71,58.97,63.41,65.93,69.42,70.51,70.16,68.85,68.99,,68.58,70.70,3.081454496
East Midlands,E07000174,Mansfield,,,,,,39.59,41.39,41.92,42.32,42.78,43.38,44.12,44.00,43.89,45.70,47.96,51.32,53.31,55.01,56.27,60.39,65.54,69.73,66.46,74.32,74.22,73.49,72.80,,72.73,74.56,2.520502211
East Midlands,E07000133,Melton,,,,,,32.42,33.65,34.82,35.72,37.11,38.68,41.45,43.94,46.15,48.48,51.22,53.79,57.89,58.54,59.95,64.18,69.02,71.84,75.13,76.95,76.59,75.84,75.09,,74.16,76.20,2.743593722
East Midlands,E07000175,Newark and Sherwood,,,,,,34.14,35.21,37.00,37.64,38.92,40.12,42.64,43.26,44.62,46.88,49.23,52.74,54.93,56.63,58.11,68.18,71.95,73.42,74.76,76.37,76.00,76.47,76.43,,77.81,80.10,2.950837416
East Midlands,E07000038,North East Derbyshire,,,,,,28.44,29.4,30.50,32.16,34.50,36.55,39.40,40.85,43.30,46.10,48.41,51.80,54.44,56.34,57.84,73.63,78.46,73.97,77.63,79.63,78.36,78.59,78.08,,77.34,78.88,1.979027575
East Midlands,E07000139,North Kesteven,,,,,,33.88,34.72,35.38,36.31,39.01,39.85,41.81,44.05,45.98,47.66,50.06,53.65,55.22,58.88,60.02,64.08,69.01,73.72,76.00,77.62,76.97,76.21,75.46,,73.36,76.97,4.928478627
East Midlands,E07000134,North West Leicestershire,,,,,,33.74,34.76,37.17,37.19,38.99,39.83,42.50,43.55,44.72,47.01,49.34,52.83,55.13,55.56,57.80,62.34,71.39,73.05,76.01,79.57,79.54,78.81,78.31,,77.73,79.99,2.898125846
East Midlands,E07000154,Northampton,,,,,,39.39,39.87,40.57,43.47,48.16,52.08,54.71,54.70,56.15,57.75,59.95,64.11,65.84,67.64,68.09,75.46,78.59,84.78,83.09,85.01,84.21,83.50,82.84,,82.66,85.00,2.83515298
East Midlands,E06000018,Nottingham,,,,,,33.77,34.2,35.00,35.84,36.75,38.95,41.23,42.40,44.08,46.15,48.50,51.94,53.86,55.42,56.92,61.28,64.78,73.28,74.62,74.60,73.98,73.51,72.91,,72.78,75.12,3.216444312
East Midlands,E07000135,Oadby and Wigston,,,,,,31.09,32.91,34.56,35.33,35.94,39.32,41.10,42.82,45.30,47.67,50.05,52.56,54.86,56.74,58.27,63.11,69.71,70.82,76.10,77.89,73.19,77.09,.,,74.08,77.54,4.67062635
East Midlands,E07000176,Rushcliffe,,,,,,35.17,36.1,38.96,40.01,41.61,44.52,47.32,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E06000017,Rutland,,,,,,41.71,43.44,44.21,45.17,46.50,47.83,49.05,49.07,52.04,56.22,50.78,58.95,61.00,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000039,South Derbyshire,,,,,,33.45,34.45,35.67,37.36,40.50,43.55,47.42,47.42,47.65,49.79,52.27,55.95,58.11,59.91,62.82,64.92,69.02,73.97,78.02,80.36,82.61,78.95,78.76,,78.07,80.87,3.584174913
East Midlands,E07000140,South Holland,,,,,,34.56,37.6,38.29,40.86,40.96,41.32,41.44,42.88,44.58,46.97,48.84,52.21,55.49,57.23,58.61,62.69,70.17,71.24,76.27,77.96,77.21,76.37,75.58,,75.68,77.18,1.983000325
East Midlands,E07000141,South Kesteven,,,,,,33.58,36.92,38.34,39.25,40.85,42.43,44.09,45.53,47.55,49.61,52.25,55.18,59.06,60.79,61.89,66.02,71.07,74.29,78.13,80.93,80.04,79.19,66.78,,77.64,79.68,2.635272545
East Midlands,E07000155,South Northamptonshire,,,,,,40.21,42.14,44.09,46.25,48.80,48.78,51.86,51.11,53.19,57.42,60.31,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000156,Wellingborough,,,,,,33.24,34.24,34.46,36.35,40.83,42.61,44.61,46.56,48.06,50.66,53.38,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000142,West Lindsey,,,,,,33.25,34.17,35.38,37.38,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
West Midlands,E12000005,,25.61,28.44,31.28,32.78,35.12,37.03,37.96,38.83,39.82,41.31,44.68,46.67,47.43,49.28,51.59,54.11,57.32,59.54,61.47,63.22,67.40,72.11,76.47,80.68,81.16,80.18,79.48,79.02,,78.06,80.28,2.854233919
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
West Midlands,E08000025,Birmingham,,,,,,39.51,40.49,40.77,41.44,41.91,45.74,47.68,47.59,49.84,52.23,54.63,57.42,58.90,61.23,63.54,68.20,72.26,76.11,80.54,81.98,81.17,80.55,80.63,,80.07,82.12,2.550918442
West Midlands,E07000182,Bridgnorth,,,,,,36.18,37.18,38.87,40.15,42.25,44.50,46.74,48.33,51.25,53.25,56.08,58.98,62.25,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
West Midlands,E07000234,Bromsgrove,,,,,,33.04,34.37,35.70,37.22,41.70,45.62,47.94,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000192,Cannock Chase,,,,,,39.19,40.26,40.71,42.94,44.56,46.79,48.61,49.30,50.24,51.44,53.17,54.37,57.90,56.98,61.15,68.19,72.73,72.53,73.94,74.51,74.06,73.26,72.54,,72.53,73.74,1.670545976
West Midlands,E08000026,Coventry,,,,,,36.63,37.12,37.82,37.65,36.12,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E08000027,Dudley,,,,,,35.98,38.66,38.81,39.98,41.73,45.08,47.19,48.74,50.33,52.13,55.05,58.15,61.82,63.68,65.00,69.44,74.76,78.16,82.12,82.69,78.42,78.00,77.38,,75.28,78.90,4.816580219
West Midlands,E07000193,East Staffordshire,,,,,,32.46,33.46,34.67,36.30,38.12,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E06000019,"Herefordshire, County of",,,,,,35.3155764,35.64645181,37.20,38.68,39.49,41.14,43.10,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,239.96,#VALUE!
West Midlands,E07000194,Lichfield,,,,,,36.67,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000235,Malvern Hills,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000195,Newcastle-under-Lyme,,,,,,29.74,30.74,31.86,33.52,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000183,North Shropshire,,,,,,32.33,33.29,34.51,35.25,38.20,40.12,38.41,43.14,45.68,48.91,51.31,MYT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
West Midlands,E07000218,North Warwickshire,,,,,,33.08,34.17,35.22,37.19,39.13,41.55,44.62,45.41,47.33,50.61,53.16,55.80,59.98,62.08,63.53,68.67,74.84,79.11,83.83,85.98,85.52,84.88,84.45,,83.38,85.73,2.812847855
West Midlands,E07000219,Nuneaton and Bedworth,,,,,,33.17,35.55,37.65,39.86,39.82,40.95,43.97,45.16,47.02,48.38,50.83,54.96,56.28,57.90,59.77,64.06,69.08,74.47,77.23,79.69,79.14,78.33,77.55,,76.54,78.70,2.818895315
West Midlands,E07000184,Oswestry,,,,,,33.25,34.16,35.69,38.76,39.51,41.42,43.67,44.82,46.82,48.60,51.40,54.78,58.05,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
West Midlands,E07000236,Redditch,,,,,,37.55,37.93,40.06,41.82,44.11,46.28,48.47,48.69,50.31,52.09,54.51,58.39,60.10,61.79,63.38,67.16,71.87,78.56,80.28,80.21,79.35,78.59,77.08,,77.29,79.39,2.725409995
West Midlands,E07000220,Rugby,,,,,,36.17,36.65,37.53,40.02,41.23,43.26,46.08,48.15,49.52,52.07,55.14,57.89,60.94,63.11,64.36,69.15,66.81,76.51,87.70,93.13,97.88,97.41,96.72,,82.32,84.75,2.955422061
West Midlands,E08000028,Sandwell,,,,,,40.74,41.65,43.32,44.64,46.62,48.57,51.95,51.13,52.92,55.35,58.12,60.35,62.18,64.06,65.13,71.26,71.24,81.11,86.93,82.04,81.19,80.41,79.60,,79.06,80.60,1.954086712
West Midlands,E07000185,Shrewsbury and Atcham,,,,,,33.59,35.47,37.71,39.75,40.79,43.55,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
West Midlands,E06000051,Shropshire,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,61.93,63.12,67.51,72.75,76.82,81.42,83.69,83.94,82.84,82.00,,81.21,83.26,2.51736768
West Midlands,E08000029,Solihull,,,,,,39.46,40.57,41.77,41.74,44.78,46.34,47.91,48.88,50.72,52.80,55.41,58.02,61.13,63.07,64.15,68.73,73.21,76.68,80.56,81.48,81.39,80.74,80.11,,79.36,81.65,2.893992625
West Midlands,E07000186,South Shropshire,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
West Midlands,E07000196,South Staffordshire,,,,,,36.18,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000197,Stafford,,,,,,34.5,35.47,37.14,37.26,38.62,40.38,43.03,43.58,44.38,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000198,Staffordshire Moorlands,,,,,,33.75,34.69,35.99,38.00,40.33,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E06000021,Stoke-on-Trent,,,,,,35.76,36.8,38.27,39.58,40.66,42.84,43.09,44.14,45.42,46.86,49.00,52.09,53.88,55.50,57.35,60.66,64.84,68.63,71.84,71.85,71.11,69.66,69.05,,69.04,71.20,3.135058405
West Midlands,E07000221,Stratford-on-Avon,,,,,,37.59,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,94.42,#VALUE!
West Midlands,E07000199,Tamworth,,,,,,40.05,41.27,41.92,42.81,44.06,45.60,47.01,48.89,50.36,52.67,52.01,57.39,60.91,62.87,64.41,68.56,76.33,81.35,79.31,80.78,79.71,81.00,80.33,,80.30,83.18,3.586763827
West Midlands,E06000020,Telford and Wrekin,,,,,,42.05,39.91,41.58,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,82.95,#VALUE!
West Midlands,E08000030,Walsall,,,,,,32.58,33.55,34.76,33.14,38.36,44.65,46.19,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000222,Warwick,,,,,,39.51,40,40.96,42.71,44.79,46.27,48.79,50.88,53.60,56.57,59.40,63.55,67.08,69.16,70.51,82.15,82.13,85.09,88.43,90.77,91.61,90.94,90.49,,89.38,91.96,2.891212639
West Midlands,E08000031,Wolverhampton,,,,,,34.4,34.66,35.52,37.78,37.87,40.04,41.64,43.29,45.02,47.47,50.53,55.97,58.21,60.18,61.64,68.30,73.63,73.69,78.07,80.69,79.59,78.77,78.09,,77.34,79.58,2.892049461
West Midlands,E07000237,Worcester,,,,,,35.21,35.59,35.61,37.61,38.89,41.24,43.11,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,.,.,.,.,.,.,.,.,.,.,,..,..,#VALUE!
West Midlands,E07000238,Wychavon,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
West Midlands,E07000239,Wyre Forest,,,,,,36.13,37.7,39.82,41.60,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East of England,E12000006,,27.85,31.6,35.13,37.75,40.22,41.37,42.71,44.20,45.59,47.78,49.94,51.88,52.48,54.93,57.62,60.15,64.75,66.83,68.13,70.28,75.26,79.58,86.79,89.14,91.50,91.03,90.24,89.50,,89.29,92.19,3.251812752
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East of England,E07000200,Babergh,,,,,,42.08,43.81,45.06,45.54,48.34,49.84,51.54,53.10,55.39,57.78,60.63,63.52,67.72,69.75,71.06,80.83,79.12,89.02,89.06,91.84,91.12,90.55,89.82,,88.98,91.60,2.941727279
East of England,E07000066,Basildon,,,,,,40.7,44.35,46.62,48.48,50.05,53.02,55.61,53.83,56.18,58.04,60.74,65.10,67.51,69.49,70.21,74.43,79.64,83.00,85.83,87.69,86.81,87.05,86.82,,85.92,88.67,3.200651769
East of England,E06000055,Bedford,,,,,,36.76,35.99,..,..,..,..,..,..,..,..,..,..,..,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000002,Bedford,,,,,,36.76,35.99,38.26,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
East of England,E07000067,Braintree,,,,,,41.77,42.39,43.22,44.25,45.14,47.87,50.36,52.03,54.94,58.71,61.69,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000143,Breckland,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000068,Brentwood,,,,,,48.6,49.01,49.73,50.62,52.74,54.82,57.08,59.25,60.44,62.86,65.50,70.10,71.86,72.51,74.79,79.16,85.02,86.13,95.60,92.13,93.27,94.45,92.99,,93.61,96.04,2.594561182
East of England,E07000144,Broadland,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000095,Broxbourne,,,,,,51.99,52.99,54.85,55.44,58.59,59.39,60.85,62.70,64.78,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000008,Cambridge,,,,,,41.03,41.77,42.52,43.03,50.40,49.39,52.12,55.47,57.50,60.50,58.39,66.52,71.40,73.78,75.16,87.80,87.41,94.72,98.78,101.52,101.21,101.27,101.05,,101.09,104.44,3.314182733
East of England,E07000069,Castle Point,,,,,,52.78,53.27,53.98,54.87,56.24,57.48,59.65,59.66,61.24,62.93,64.95,69.16,71.01,72.93,73.20,77.34,82.41,85.29,88.95,90.88,89.94,89.11,88.10,,87.22,89.74,2.893636172
East of England,E06000056,Central Bedfordshire,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,76.52,77.79,83.59,90.46,96.51,99.98,102.20,101.67,101.23,100.36,,100.04,103.00,2.958524923
East of England,E07000070,Chelmsford,,,,,,44.29,45.87,48.36,50.05,52.48,55.23,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,197.68,#VALUE!
East of England,E07000071,Colchester,,,,,,42.59,43.53,44.47,45.21,49.44,51.28,54.46,51.94,51.53,54.78,57.59,61.64,63.82,65.79,67.11,71.84,77.69,81.75,86.06,87.28,87.57,86.57,85.77,,85.28,87.62,2.743902439
East of England,E07000096,Dacorum,,,,,,40.31,42.62,44.50,45.88,48.42,50.12,52.79,52.79,58.74,62.27,65.57,68.87,73.89,77.44,78.56,84.22,92.26,97.05,102.20,105.75,105.23,103.00,101.16,,102.02,105.36,3.273867869
East of England,E07000009,East Cambridgeshire,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000242,East Hertfordshire,,,,,,45.76,47.59,48.95,49.94,53.45,58.80,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,220.00,..,#VALUE!
East of England,E07000244,East Suffolk,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,82.58,84.15,1.903802453
East of England,E07000072,Epping Forest,,,,,,45.92,46.41,47.15,48.80,50.22,52.28,55.50,55.80,58.70,61.81,64.82,67.79,72.30,74.53,76.29,81.85,87.15,90.96,95.44,97.72,96.99,96.79,96.43,,96.58,99.89,3.430654168
East of England,E07000010,Fenland,,,,,,40.1,41.1,41.88,43.52,45.04,46.80,49.67,50.16,51.68,53.68,56.36,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000201,Forest Heath,,,,,,37.21,38.39,38.36,40.71,42.50,45.58,47.21,48.68,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000145,Great Yarmouth,,,,,,32.06,34.77,34.11,33.59,35.16,37.25,39.27,40.54,42.87,45.54,47.30,51.46,53.70,55.34,56.86,61.44,67.53,71.04,74.73,73.35,69.97,72.31,72.15,,70.20,73.85,5.195253521
East of England,E07000073,Harlow,,,,,,39.94,41.72,44.32,46.57,48.69,50.46,53.38,53.87,56.66,59.08,62.13,64.47,67.89,72.93,73.56,83.86,83.95,87.39,91.59,93.56,92.63,91.73,90.74,,89.83,91.66,2.037181343
East of England,E07000098,Hertsmere,,,,,,45,42.93,55.08,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000011,Huntingdonshire,,,,,,39.48,40.66,45.67,53.78,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000202,Ipswich,,,,,,38.45,39.27,38.86,39.33,43.76,46.26,47.93,47.71,50.01,52.31,55.26,58.20,61.47,63.38,64.68,70.02,73.81,77.41,83.42,83.46,82.71,81.94,81.08,,80.31,83.21,3.611007347
East of England,E07000146,King's Lynn and West Norfolk,,,,,,35.34,36.22,36.88,34.97,40.42,41.65,45.49,47.51,49.16,50.69,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E06000032,Luton,,,,,,42.34,45.23,47.97,50.33,52.20,52.77,54.63,53.88,55.71,57.59,56.23,59.93,61.04,61.72,65.33,71.83,74.13,79.49,81.63,83.26,81.85,82.53,81.62,,82.37,84.96,3.148488153
