,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
North East,E07000060,Wear Valley,,,,,,35.14,35.62,36.34,37.21,38.61,40.19,42.35,42.78,42.77,45.99,.,.,53.42,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
North West,E12000002,,24.55,26.76,29.46,31.65,34.7,37.70,38.38,39.49,40.57,42.24,44.20,45.83,46.53,47.29,48.97,50.79,53.60,55.63,57.19,58.76,62.63,68.70,71.69,74.28,75.65,75.30,74.72,74.52,,74.71,76.68,2.639861333
North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
North West,E07000026,Allerdale,,,,,,36.09,38.84,40.64,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000027,Barrow-in-Furness,,,,,,41.13,41.89,42.51,43.43,44.80,46.37,48.43,47.98,49.21,50.14,52.31,55.18,57.89,59.72,60.48,64.14,63.37,64.67,75.33,76.97,75.33,74.58,74.51,,74.86,75.65,1.055303233
North West,E06000008,Blackburn with Darwen,,,,,,40.41,44.15,46.35,47.98,49.20,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E06000009,Blackpool,,,,,,33,33.46,34.18,35.07,36.53,42.04,45.92,46.23,48.49,49.72,51.31,54.70,56.10,57.53,58.85,58.84,62.81,65.96,68.90,70.06,70.36,69.79,69.80,,69.85,72.04,3.139469979
North West,E08000001,Bolton,,,,,,31.67,32.65,36.09,35.41,36.13,37.71,40.27,40.95,42.82,44.85,47.07,50.45,53.57,55.24,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000117,Burnley,,,,,,37.39,38.34,39.60,41.50,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E08000002,Bury,,,,,,35.94,36.94,38.08,39.68,41.63,43.81,45.12,46.35,48.10,49.85,52.28,54.87,57.77,59.56,60.62,64.25,68.26,71.03,72.77,72.74,72.59,72.21,72.53,,72.11,74.28,2.998787517
North West,E07000028,Carlisle,,,,,,34.14,35.12,36.33,38.01,40.09,42.94,44.98,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E06000049,Cheshire East,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E06000050,Cheshire West and Chester,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,55.53,57.03,61.73,67.06,76.16,78.06,78.26,77.67,77.09,76.96,,76.62,78.83,2.885291338
North West,E07000013,Chester,,,,,,34.77,35.7,36.86,38.36,39.40,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North West,E07000118,Chorley,,,,,,28.16,29.16,30.96,32.46,35.56,38.09,40.49,41.50,43.26,45.26,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,192.85,151.10,-21.64894996
North West,E07000014,Congleton,,,,,,33.34,35.94,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North West,E07000029,Copeland,,,,,,34.04,35.21,36.43,38.25,39.36,40.94,42.93,44.71,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000015,Crewe and Nantwich,,,,,,34.44,35.58,36.50,38.13,40.37,46.88,51.40,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
