,Date,economy,Inflation
0,1960-01-01,Austria,1.945749352
1,1960-01-01,Switzerland,1.438794703
2,1960-01-01,Germany,1.53661156
3,1960-01-01,Denmark,1.255230126
4,1960-01-01,Spain,1.177771084
5,1960-01-01,Finland,3.418127254
6,1960-01-01,France,4.139935755
7,1960-01-01,Greece,1.477847585
8,1960-01-01,Ireland,0.450837269
9,1960-01-01,Iceland,1.988397239
10,1960-01-01,Italy,2.350161414
11,1960-01-01,Luxemburg,0.449620296
12,1960-01-01,Malta,3.384615385
13,1960-01-01,Netherlands,2.323943662
14,1960-01-01,Norway,0.360492347
15,1960-01-01,Portugal,3.046592778
16,1960-01-01,Sweden,4.141779151
17,1961-01-01,Austria,3.542239867
18,1961-01-01,Switzerland,1.845397874
19,1961-01-01,Germany,2.293675796
20,1961-01-01,Denmark,3.451628586
21,1961-01-01,Spain,0.809252874
22,1961-01-01,Finland,1.691001915
23,1961-01-01,France,2.400461045
24,1961-01-01,Greece,2.10357935
25,1961-01-01,Ireland,2.756999359
26,1961-01-01,Iceland,4.711614997
27,1961-01-01,Italy,2.050697313
28,1961-01-01,Luxemburg,0.482433591
29,1961-01-01,Malta,2.511321531
30,1961-01-01,Netherlands,1.307639367
31,1961-01-01,Norway,2.155172777
32,1961-01-01,Portugal,1.54899697
33,1961-01-01,Sweden,2.15797311
34,1962-01-01,Austria,4.381798639
35,1962-01-01,Switzerland,4.315992878
36,1962-01-01,Germany,2.843280086
37,1962-01-01,Denmark,7.377819548
38,1962-01-01,Spain,5.706477193
39,1962-01-01,Finland,4.383982782
40,1962-01-01,France,5.331280071
41,1962-01-01,Greece,-0.475428291
42,1962-01-01,Ireland,4.263727121
43,1962-01-01,Iceland,11.01629245
44,1962-01-01,Italy,4.691143607
45,1962-01-01,Luxemburg,0.895946647
46,1962-01-01,Malta,0.168674699
47,1962-01-01,Netherlands,2.431122644
48,1962-01-01,Norway,5.274259529
49,1962-01-01,Portugal,2.662064179
50,1962-01-01,Sweden,4.766197219
51,1963-01-01,Austria,2.708766995
52,1963-01-01,Switzerland,3.44021288
53,1963-01-01,Germany,2.966960863
54,1963-01-01,Denmark,6.105032823
55,1963-01-01,Spain,8.743697684
56,1963-01-01,Finland,4.996381886
57,1963-01-01,France,4.999152898
58,1963-01-01,Greece,3.184662728
59,1963-01-01,Ireland,2.453620587
60,1963-01-01,Iceland,12.92802308
61,1963-01-01,Italy,7.454718225
62,1963-01-01,Luxemburg,2.876322462
63,1963-01-01,Malta,1.876353139
64,1963-01-01,Netherlands,3.243647374
65,1963-01-01,Norway,2.471610529
66,1963-01-01,Portugal,2.021582728
67,1963-01-01,Sweden,2.871740345
68,1964-01-01,Austria,3.868563549
69,1964-01-01,Switzerland,3.080556871
70,1964-01-01,Germany,2.335728095
71,1964-01-01,Denmark,3.092783505
72,1964-01-01,Spain,6.97924674
73,1964-01-01,Finland,10.27586074
74,1964-01-01,France,3.211191703
75,1964-01-01,Greece,0.617302979
76,1964-01-01,Ireland,6.717289719
77,1964-01-01,Iceland,19.24505436
78,1964-01-01,Italy,5.912322532
79,1964-01-01,Luxemburg,3.096381512
80,1964-01-01,Malta,2.180243999
81,1964-01-01,Netherlands,5.823768258
82,1964-01-01,Norway,5.867015388
83,1964-01-01,Portugal,3.444898482
84,1964-01-01,Sweden,3.387662311
85,1965-01-01,Austria,4.930916377
86,1965-01-01,Switzerland,3.414478608
87,1965-01-01,Germany,3.242329385
88,1965-01-01,Denmark,5.449999999
89,1965-01-01,Spain,13.21413784
90,1965-01-01,Finland,4.940588068
91,1965-01-01,France,2.703104559
92,1965-01-01,Greece,3.22087247
93,1965-01-01,Ireland,4.988123515
94,1965-01-01,Iceland,7.317069428
95,1965-01-01,Italy,4.519268307
96,1965-01-01,Luxemburg,3.333679329
97,1965-01-01,Malta,1.602218456
98,1965-01-01,Netherlands,3.908037828
99,1965-01-01,Norway,4.18722444
100,1965-01-01,Portugal,3.424927777
101,1965-01-01,Sweden,5.012771296
