,Date,type,value,area
120,01-May-05,england,82.0,England
121,01-May-05,northeast,87.199997,Northeast
122,01-May-05,northwest,88.699997,Northwest
123,01-May-05,yorkshireandthehumber,85.699997,Yorkshire
124,01-May-05,eastmidlands,89.300003,Eastmidlands
125,01-May-05,westmidlands,88.300003,Westmidlands
126,01-May-05,east,86.0,East
127,01-May-05,london,75.599998,London
128,01-May-05,southeast,83.400002,Southeast
129,01-May-05,southwest,84.0,Southwest
130,01-May-05,northeast_pred,90.877808,Northeast
131,01-May-05,northeast_error,-3.6778107,Northeast
132,01-May-05,northwest_pred,90.120506,Northwest
133,01-May-05,northwest_error,-1.4205093,Northwest
134,01-May-05,yorkshireandthehumber_pred,88.138733,Yorkshire
135,01-May-05,yorkshireandthehumber_error,-2.438736,Yorkshire
136,01-May-05,eastmidlands_pred,87.357475,Eastmidlands
137,01-May-05,eastmidlands_error,1.9425278,Eastmidlands
138,01-May-05,westmidlands_pred,88.175125,Westmidlands
139,01-May-05,westmidlands_error,0.12487793,Westmidlands
140,01-May-05,east_pred,86.19165,East
141,01-May-05,east_error,-0.19165039,East
142,01-May-05,london_pred,76.341072,London
143,01-May-05,london_error,-0.74107361,London
144,01-May-05,southeast_pred,82.686661,Southeast
145,01-May-05,southeast_error,0.71334076,Southeast
146,01-May-05,southwest_pred,84.344292,Southwest
147,01-May-05,southwest_error,-0.34429169,Southwest
148,01-May-05,england_pred,82.419014,England
149,01-May-05,england_error,-0.41901398,England
150,01-Jun-05,england,82.099998,England
151,01-Jun-05,northeast,87.400002,Northeast
152,01-Jun-05,northwest,89.0,Northwest
153,01-Jun-05,yorkshireandthehumber,86.0,Yorkshire
154,01-Jun-05,eastmidlands,89.400002,Eastmidlands
155,01-Jun-05,westmidlands,88.400002,Westmidlands
156,01-Jun-05,east,86.300003,East
157,01-Jun-05,london,75.599998,London
158,01-Jun-05,southeast,83.5,Southeast
159,01-Jun-05,southwest,84.300003,Southwest
160,01-Jun-05,northeast_pred,90.955917,Northeast
