,Date,england,northeast,northwest,yorkshireandthehumber,eastmidlands,westmidlands,east,london,southeast,southwest,level_11,value
38,01-Feb-05,81.599998,86.400002,88.599998,85.300003,88.400002,87.699997,85.5,75.5,82.900002,83.400002,england_pred,81.971718
39,01-Feb-05,81.599998,86.400002,88.599998,85.300003,88.400002,87.699997,85.5,75.5,82.900002,83.400002,england_error,-0.37171936
40,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,northeast_pred,90.724098
41,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,northeast_error,-4.2240982
42,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,northwest_pred,89.931885
43,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,northwest_error,-1.3318863
44,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,yorkshireandthehumber_pred,87.91008
45,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,yorkshireandthehumber_error,-2.5100784
46,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,eastmidlands_pred,87.07711
47,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,eastmidlands_error,1.3228912
48,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,westmidlands_pred,87.935616
49,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,westmidlands_error,-0.035614014
50,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,east_pred,85.910065
51,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,east_error,-0.51006317
52,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,london_pred,75.974045
53,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,london_error,-0.4740448
54,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,southeast_pred,82.364532
55,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,southeast_error,0.63546753
56,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,southwest_pred,84.04435
57,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,southwest_error,-0.54434967
58,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,england_pred,82.112442
59,01-Mar-05,81.699997,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83.0,83.5,england_error,-0.41244507
60,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,northeast_pred,90.802208
61,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,northeast_error,-3.8022079
62,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,northwest_pred,90.02774
63,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,northwest_error,-1.427742
64,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,yorkshireandthehumber_pred,88.026283
65,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,yorkshireandthehumber_error,-2.4262848
66,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,eastmidlands_pred,87.219589
67,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,eastmidlands_error,1.5804138
68,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,westmidlands_pred,88.057335
69,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,westmidlands_error,0.042663574
70,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,east_pred,86.053169
71,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,east_error,-0.3531723
72,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,london_pred,76.160568
73,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,london_error,-0.56056976
74,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,southeast_pred,82.528236
75,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,southeast_error,0.57176208
76,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,southwest_pred,84.196777
77,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,southwest_error,-0.4967804
78,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,england_pred,82.268242
79,01-Apr-05,81.800003,87.0,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,england_error,-0.46823883
80,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,northeast_pred,90.877808
81,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,northeast_error,-3.6778107
82,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,northwest_pred,90.120506
83,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,northwest_error,-1.4205093
84,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,yorkshireandthehumber_pred,88.138733
85,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,yorkshireandthehumber_error,-2.438736
86,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,eastmidlands_pred,87.357475
87,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,eastmidlands_error,1.9425278
88,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,westmidlands_pred,88.175125
89,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,westmidlands_error,0.12487793
90,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,east_pred,86.19165
